Wykorzystany algorytm,Rozmiar plecaka,Liczba przedmiotów,Czas obliczeń [us]
Algorytm siłowy,7100,10,5590
Algorytm zachłanny,7100,10,17
Algorytm programowania dynamicznego,7100,10,29580
Algorytm siłowy,7100,11,8563
Algorytm zachłanny,7100,11,30
Algorytm programowania dynamicznego,7100,11,29589
Algorytm siłowy,7100,12,19585
Algorytm zachłanny,7100,12,31
Algorytm programowania dynamicznego,7100,12,34114
Algorytm siłowy,7100,13,41219
Algorytm zachłanny,7100,13,18
Algorytm programowania dynamicznego,7100,13,34752
Algorytm siłowy,7100,14,86250
Algorytm zachłanny,7100,14,35
Algorytm programowania dynamicznego,7100,14,68487
Algorytm siłowy,7100,15,177284
Algorytm zachłanny,7100,15,36
Algorytm programowania dynamicznego,7100,15,38995
Algorytm siłowy,7100,16,377382
Algorytm zachłanny,7100,16,20
Algorytm programowania dynamicznego,7100,16,42954
Algorytm siłowy,8100,2,24
Algorytm zachłanny,8100,2,122
Algorytm programowania dynamicznego,8100,2,6170
Algorytm siłowy,8100,3,21
Algorytm zachłanny,8100,3,12
Algorytm programowania dynamicznego,8100,3,8142
Algorytm siłowy,8100,4,201
Algorytm zachłanny,8100,4,110
Algorytm programowania dynamicznego,8100,4,14036
Algorytm siłowy,8100,5,328
Algorytm zachłanny,8100,5,113
Algorytm programowania dynamicznego,8100,5,15443
Algorytm siłowy,8100,6,521
Algorytm zachłanny,8100,6,16
Algorytm programowania dynamicznego,8100,6,18663
Algorytm siłowy,8100,7,826
Algorytm zachłanny,8100,7,20
Algorytm programowania dynamicznego,8100,7,22213
Algorytm siłowy,8100,8,945
Algorytm zachłanny,8100,8,16
Algorytm programowania dynamicznego,8100,8,22753
Algorytm siłowy,8100,9,1859
Algorytm zachłanny,8100,9,17
Algorytm programowania dynamicznego,8100,9,30642
Algorytm siłowy,8100,10,3758
Algorytm zachłanny,8100,10,19
Algorytm programowania dynamicznego,8100,10,29854
Algorytm siłowy,8100,11,10264
Algorytm zachłanny,8100,11,32
Algorytm programowania dynamicznego,8100,11,32731
Algorytm siłowy,8100,12,18875
Algorytm zachłanny,8100,12,31
Algorytm programowania dynamicznego,8100,12,35063
Algorytm siłowy,8100,13,41416
Algorytm zachłanny,8100,13,32
Algorytm programowania dynamicznego,8100,13,37884
Algorytm siłowy,8100,14,85545
Algorytm zachłanny,8100,14,20
Algorytm programowania dynamicznego,8100,14,39308
Algorytm siłowy,8100,15,186501
Algorytm zachłanny,8100,15,19
Algorytm programowania dynamicznego,8100,15,45109
Algorytm siłowy,8100,16,377395
Algorytm zachłanny,8100,16,20
Algorytm programowania dynamicznego,8100,16,47178
Algorytm siłowy,9100,2,26
Algorytm zachłanny,9100,2,120
Algorytm programowania dynamicznego,9100,2,7139
Algorytm siłowy,9100,3,22
Algorytm zachłanny,9100,3,115
Algorytm programowania dynamicznego,9100,3,10044
Algorytm siłowy,9100,4,944
Algorytm zachłanny,9100,4,13
Algorytm programowania dynamicznego,9100,4,12966
Algorytm siłowy,9100,5,338
Algorytm zachłanny,9100,5,113
Algorytm programowania dynamicznego,9100,5,19799
Algorytm siłowy,9100,6,171
Algorytm zachłanny,9100,6,82
Algorytm programowania dynamicznego,9100,6,20633
Algorytm siłowy,9100,7,993
Algorytm zachłanny,9100,7,16
Algorytm programowania dynamicznego,9100,7,27099
Algorytm siłowy,9100,8,1822
Algorytm zachłanny,9100,8,18
Algorytm programowania dynamicznego,9100,8,27887
Algorytm siłowy,9100,9,1743
Algorytm zachłanny,9100,9,17
Algorytm programowania dynamicznego,9100,9,29008
Algorytm siłowy,9100,10,4170
Algorytm zachłanny,9100,10,18
Algorytm programowania dynamicznego,9100,10,36198
Algorytm siłowy,9100,11,11852
Algorytm zachłanny,9100,11,39
Algorytm programowania dynamicznego,9100,11,36520
Algorytm siłowy,9100,12,19115
Algorytm zachłanny,9100,12,18
Algorytm programowania dynamicznego,9100,12,36882
Algorytm siłowy,9100,13,40288
Algorytm zachłanny,9100,13,21
Algorytm programowania dynamicznego,9100,13,44767
Algorytm siłowy,9100,14,88970
Algorytm zachłanny,9100,14,20
Algorytm programowania dynamicznego,9100,14,46529
Algorytm siłowy,9100,15,181070
Algorytm zachłanny,9100,15,20
Algorytm programowania dynamicznego,9100,15,53189
Algorytm siłowy,9100,16,383250
Algorytm zachłanny,9100,16,37
Algorytm programowania dynamicznego,9100,16,64682
Algorytm siłowy,10100,2,42
Algorytm zachłanny,10100,2,28
Algorytm programowania dynamicznego,10100,2,8148
Algorytm siłowy,10100,3,45
Algorytm zachłanny,10100,3,27
Algorytm programowania dynamicznego,10100,3,27077
Algorytm siłowy,10100,4,104
Algorytm zachłanny,10100,4,38
Algorytm programowania dynamicznego,10100,4,13653
Algorytm siłowy,10100,5,168
Algorytm zachłanny,10100,5,22
Algorytm programowania dynamicznego,10100,5,29831
Algorytm siłowy,10100,6,164
Algorytm zachłanny,10100,6,24
Algorytm programowania dynamicznego,10100,6,21003
Algorytm siłowy,10100,7,369
Algorytm zachłanny,10100,7,24
Algorytm programowania dynamicznego,10100,7,24593
Algorytm siłowy,10100,8,786
Algorytm zachłanny,10100,8,16
Algorytm programowania dynamicznego,10100,8,28559
Algorytm siłowy,10100,9,1913
Algorytm zachłanny,10100,9,142
Algorytm programowania dynamicznego,10100,9,33588
Algorytm siłowy,10100,10,4211
Algorytm zachłanny,10100,10,21
